scanfield,scandate
21111900TS000L1I,"2021-11-22 15:55:00"
21111900TS03XL1I,"2021-11-22 15:55:00"
2111190NKK00XL4I,"2021-11-22 15:57:00"
2111190NKK00XL4I,"2021-11-22 15:58:00"
21111900JK000L2I,"2021-11-22 15:59:00"
21111900JK03XL1I,"2021-11-22 15:59:00"
2111190TUI00001I,"2021-11-22 16:00:00"
2111190TUI00001I,"2021-11-22 16:00:00"
21111900TS000L1I,"2021-11-22 16:00:00"
21111900TS03XL1I,"2021-11-22 15:55:00"
21111900JK000L2I,"2021-11-22 15:59:00"
21111900JK03XL1I,"2021-11-22 15:59:00"
2111190TUI00001I,"2021-11-22 16:00:00"
2111190TUI00001I,"2021-11-22 16:00:00"
21111900AM002P1I,"2021-11-22 16:03:00"
21111900JK000M1I,"2021-11-22 16:04:00"
21111900JK00XL1I,"2021-11-22 16:07:00"
21111900JK02XL1I,"2021-11-22 16:07:00"
211119000N034L1I,"2021-11-22 16:08:00"
21111900AM002P2I,"2021-11-22 16:14:00"
21111900JK02XL1I,"2021-11-22 16:09:00"
2111190NKK000M1I,"2021-11-22 16:10:00"
211119TRUM000M1I,"2021-11-22 16:13:00"
2111190NKK00XL4I,"2021-11-22 16:13:00"
211119TRUM000M1I,"2021-11-22 16:13:00"
21111900KT00001I,"2021-11-22 16:14:00"
21111900AM002P2I,"2021-11-22 16:14:00"
211119000N034L2I,"2021-11-22 16:15:00"
211119TRUM000M1I,"2021-11-22 16:15:00"
211119TRUM000M1I,"2021-11-22 16:16:00"
2111190KDT00002I,"2021-11-22 16:16:00"
2111190NCK000L2I,"2021-11-22 16:17:00"
21111900JK000M1I,"2021-11-22 16:17:00"
21111900AM001P1I,"2021-11-22 16:18:00"
21111900AM002P2I,"2021-11-22 16:19:00"
21111900KT00001I,"2021-11-22 16:20:00"
211119TRUM000M1I,"2021-11-22 16:20:00"
2111190CDM00XL2I,"2021-11-22 16:21:00"
21111900TS000L1I,"2021-11-22 16:21:00"
21111900TS000L1I,"2021-11-22 16:21:00"
2111190NKK000L4I,"2021-11-22 16:22:00"
21111900JK00XL1I,"2021-11-22 16:22:00"
21111900JK000M1I,"2021-11-22 16:23:00"
21111900AM002P2I,"2021-11-22 16:23:00"
21111900JK000L2I,"2021-11-22 16:24:00"
21111900TS02XL2I,"2021-11-22 16:25:00"
2111190NCK00XL2I,"2021-11-22 16:25:00"
21111900TS03XL1I,"2021-11-23 16:32:24"
2111190NKK000L4I,"2021-11-23 16:32:53"
21111900AM001P1I,"2021-11-23 16:51:18"
21111900AM002P2I,"2021-11-23 17:04:21"
21111900AM002P2I,"2021-11-23 17:04:37"
2111190NKK000L4I,"2021-11-23 16:32:53"
21111900AM001P1I,"2021-11-23 16:51:18"
2111190TUI00001I,"2021-11-23 16:57:54"
21111900AM01PW1I,"2021-11-23 17:03:47"
21111900AM002P2I,"2021-11-23 17:04:21"
211119000N034L2I,"2021-11-24 13:49:06"
21111900TS000M1I,"2021-11-24 14:25:27"
21111900TS000M1I,"2021-11-24 14:25:28"
21111900TS000M1I,"2021-11-24 14:25:28"
21111900TS000M1I,"2021-11-24 14:26:53"
21111900AM001P1I,"2021-11-24 14:27:38"
21111900JK000M1I,"2021-11-24 14:27:29"
21111900AM01PW1I,"2021-11-24 14:28:13"
2111190TUI00001I,"2021-11-24 14:29:18"
2111190NCK00XL3I,"2021-11-24 14:29:57"
2111190NCK00XL3I,"2021-11-24 14:30:33"
21111900JK000L2I,"2021-11-25 13:56:04"
21111900JK03XL1I,"2021-11-25 17:23:53"
211119000N34XL2I,"2021-11-25 13:57:11"
21111900JK03XL4I,"2021-11-25 13:57:41"
21111900JK000L2I,"2021-11-25 13:57:59"
2111190NKK000M2I,"2021-11-25 13:58:59"
21111900TS000M1I,"2021-11-25 13:59:19"
21111900TS000M1I,"2021-11-26 10:20:31"
21111900TS000M1I,"2021-11-26 10:20:33"
2111190TUI00001I,"2021-11-26 10:20:40"
2111190NKK000M2I,"2021-11-26 10:21:54"
21111900AM001P1I,"2021-11-26 10:22:13"
21111900JK000M1I,"2021-11-26 10:23:32"
2111190NKK000M2I,"2021-11-26 10:32:23"
21111900AM001P1I,"2021-11-26 10:32:59"
21111900TS00XL1I,"2021-11-26 10:33:32"
21111900TS00XL1I,"2021-11-26 10:33:33"
21111900JK00XL9I,"2021-11-26 10:34:20"
2111190TUI00001I,"2021-11-26 10:35:01"
21111900JK000M1I,"2021-11-26 10:52:04"
21111900TS000M1I,"2021-11-26 10:52:44"
21111900TS000M1I,"2021-11-26 10:52:45"
21111900TS000M1I,"2021-11-26 10:52:46"
21111900AM01PW1I,"2021-11-26 10:53:16"
21111900KT00001I,"2021-11-26 10:53:33"
21111900KT00001I,"2021-11-26 10:53:35"
21111900KT00001I,"2021-11-26 10:53:36"
21111900KT00001I,"2021-11-26 10:53:37"
2111190NCK000L2I,"2021-11-26 10:54:01"
211119TRUM000M1I,"2021-11-26 10:54:16"
21111900KT00001I,"2021-11-26 10:54:57"
21111900KT00001I,"2021-11-26 10:54:58"
21111900KT00001I,"2021-11-26 10:55:00"
21111900KT00001I,"2021-11-26 10:55:01"
21111900JK03XL4I,"2021-11-26 10:55:22"
21111900JK00XL9I,"2021-11-26 10:55:53"
21111900TS000L1I,"2021-11-26 10:56:18"
2111190TUI00001I,"2021-11-26 10:56:37"
211119TRUM000M1I,"2021-11-29 14:06:00"
21111900TS000L1I,"2021-11-29 14:06:23"
2111190TUI00001I,"2021-11-29 14:06:47"
211119000N34XL2I,"2021-11-29 14:07:08"
21111900JK00XL9I,"2021-11-29 14:07:27"
21111900TS000L1I,"2021-11-29 14:08:00"
21111900JK000M1I,"2021-11-29 14:25:54"
21111900AM002P1I,"2021-11-29 14:26:11"
21111900JK02XL1I,"2021-11-29 14:26:58"
21111900JK00XL9I,"2021-11-29 14:27:11"
21111900JK03XL4I,"2021-11-29 14:27:27"
21111900JK000L2I,"2021-11-29 14:28:32"
2111190NKK000L4I,"2021-11-29 14:28:48"
2111190KDT00001I,"2021-11-29 14:46:44"
21111900KT00001I,"2021-11-29 14:47:00"
21111900KT00001I,"2021-11-29 14:47:00"
21111900KT00001I,"2021-11-29 14:47:00"
21111900KT00001I,"2021-11-29 14:47:00"
2111190TUI00001I,"2021-11-29 14:50:20"
2111190TUI00001I,"2021-11-29 14:50:39"
211119TRUM000M1I,"2021-11-29 14:50:55"
2111190NCK000L1I,"2021-11-29 15:23:10"
211119TRUM000M1I,"2021-11-29 15:23:21"
21111900AM002P1I,"2021-11-29 15:23:42"
21111900AM01PW1I,"2021-11-29 15:25:42"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
